responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho_execucao_direta;processo_de_compra;registro_de_preco;descricao_processo_de_compras;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119461;CELEBRAÇÃO DE CONVÊNIO;APROVADO;246;14497;;Não;;;;;90000,0;90000,0;90000,0;90000,0;90000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119462;CELEBRAÇÃO DE CONVÊNIO;APROVADO;246;14705;;Não;;;;;90000,0;89823,26;89823,26;89823,26;89823,26;;;
DOUTOR JEAN FREIRE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119463;RESOLUÇÃO SES;APROVADO;2188;5967;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119464;CELEBRAÇÃO DE CONVÊNIO;APROVADO;246;8878;;Não;;;;;90000,0;89963,75;89963,75;89963,75;89963,75;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119465;TRANSFERÊNCIA ESPECIAL;APROVADO;1699;16655;;Não;;;;;80000,0;80000,0;80000,0;80000,0;80000,0;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119466;TRANSFERÊNCIA ESPECIAL;APROVADO;1832;16656;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119467;CELEBRAÇÃO DE CONVÊNIO;APROVADO;246;7920;;Não;;;;;140000,0;135260,0;135260,0;135260,0;135260,0;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119468;TRANSFERÊNCIA ESPECIAL;APROVADO;1699;16657;;Não;;;;;10000,0;10000,0;10000,0;10000,0;10000,0;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119469;TRANSFERÊNCIA ESPECIAL;APROVADO;1832;16658;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
DOUTOR JEAN FREIRE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119470;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2206;14542;;Não;;;;;180000,0;163840,0;163840,0;163840,0;163840,0;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119471;TRANSFERÊNCIA ESPECIAL;APROVADO;1735;16659;;Não;;;;;70000,0;70000,0;70000,0;70000,0;70000,0;;;
DOUTOR JEAN FREIRE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119472;RESOLUÇÃO SES;APROVADO;2186;7236;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119473;TRANSFERÊNCIA ESPECIAL;APROVADO;1832;16660;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
GLAYCON FRANCO;4291;FUNDO ESTADUAL DE SAÚDE;SES;119474;RESOLUÇÃO SES;APROVADO;2181;6907;;Não;;;;;167906,0;167906,0;167906,0;167906,0;167906,0;;;
GLAYCON FRANCO;4291;FUNDO ESTADUAL DE SAÚDE;SES;119475;RESOLUÇÃO SES;APROVADO;2181;6768;;Não;;;;;83953,0;83953,0;83953,0;83953,0;83953,0;;;
CELISE LAVIOLA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119477;CELEBRAÇÃO DE CONVÊNIO;APROVADO;260;14501;;Não;;;;;90000,0;90000,0;90000,0;90000,0;90000,0;;;
ZÉ REIS;4291;FUNDO ESTADUAL DE SAÚDE;SES;119480;RESOLUÇÃO SES;APROVADO;2282;7037;;Não;;;;;344515,0;344515,0;344515,0;344515,0;344515,0;;;
ZÉ REIS;4291;FUNDO ESTADUAL DE SAÚDE;SES;119482;RESOLUÇÃO SES;APROVADO;2304;6512;;Não;;;;;800000,0;800000,0;800000,0;800000,0;800000,0;;;
DOUTOR JEAN FREIRE;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG;119483;EXECUÇÃO DIRETA;APROVADO;1795;10877;1425,0;Sim;Não;Prestação de serviços de obras para ampliação do Pelotão BM em Itaobim-MG;1,4014080000202024e+16;CONCLUÍDO;100000,0;100000,0;100000,0;0,0;0,0;;Aguardando notas para liquidação;outras razões de ordem técnica devidamente justificadas.
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119484;CELEBRAÇÃO DE CONVÊNIO;APROVADO;625;14496;;Não;;;;;90000,0;90000,0;90000,0;90000,0;90000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119485;CELEBRAÇÃO DE CONVÊNIO;APROVADO;625;8177;;Não;;;;;90000,0;89529,17;89529,17;89529,17;89529,17;;;
MARQUINHO LEMOS;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119489;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2115;13778;;Não;;;;;150000,0;150000,0;150000,0;150000,0;0,0;;Ausência de conta bancária cadastrada do beneficiário no portal Sigcon;"não efetivação dos requisitos legais, regulamentares e técnicos ou condições suspensivas necessários ao pagamento ou à conclusão da execução da emenda dentro do exercício financeiro da respectiva Lei Orçamentária Anual;"
BRUNO ENGLER;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;119491;EXECUÇÃO DIRETA;APROVADO;40;10209;466,0;Sim;Não;Caminhonete flex com cela.;1,2500720000402024e+16;CONCLUÍDO;75000,0;75000,0;73061,6;0,0;0,0;0,0;Saldo decorre de economicidade. Aguarda entregas para liquidação.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119493;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1968;8061;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119494;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1887;8060;;Não;;;;;50000,0;47770,0;47770,0;47770,0;47770,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119495;CELEBRAÇÃO DE CONVÊNIO;APROVADO;246;8066;;Não;;;;;70716,14;70571,27;70571,27;70571,27;70571,27;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119496;TRANSFERÊNCIA ESPECIAL;APROVADO;1832;16661;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
GUSTAVO SANTANA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119498;RESOLUÇÃO SES;APROVADO;2172;7013;;Não;;;;;241316,0;241316,0;241316,0;241316,0;241316,0;;;
GUSTAVO SANTANA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119500;RESOLUÇÃO SES;APROVADO;2180;7456;;Não;;;;;260000,0;260000,0;260000,0;260000,0;260000,0;;;
MAURO TRAMONTE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119502;CELEBRAÇÃO DE CONVÊNIO;APROVADO;181;14606;;Não;;;;;54508,0;54508,0;54508,0;54508,0;54508,0;;;
MAURO TRAMONTE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119503;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2081;14607;;Não;;;;;35492,0;35467,96;35467,96;35467,96;35467,96;;;
MARQUINHO LEMOS;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119504;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2115;13776;;Não;;;;;100000,0;100000,0;100000,0;100000,0;0,0;;Ausência de conta bancária cadastrada do beneficiário no portal Sigcon;"não efetivação dos requisitos legais, regulamentares e técnicos ou condições suspensivas necessários ao pagamento ou à conclusão da execução da emenda dentro do exercício financeiro da respectiva Lei Orçamentária Anual;"
OSVALDO LOPES;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;SEMAD;119507;CELEBRAÇÃO DE CONVÊNIO;APROVADO;108;8235;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
DOUTOR JEAN FREIRE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119508;RESOLUÇÃO SES;APROVADO;2186;8074;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
NORALDINO JUNIOR;4291;FUNDO ESTADUAL DE SAÚDE;SES;119512;RESOLUÇÃO SES;APROVADO;511;7326;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
CARLOS HENRIQUE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119513;RESOLUÇÃO SES;APROVADO;1125;6486;;Não;;;;;400000,0;400000,0;400000,0;400000,0;400000,0;;;
GUSTAVO SANTANA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119514;RESOLUÇÃO SES;APROVADO;2178;6838;;Não;;;;;83953,0;83953,0;83953,0;83953,0;83953,0;;;
GUSTAVO SANTANA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119515;RESOLUÇÃO SES;APROVADO;2178;6839;;Não;;;;;83953,0;83953,0;83953,0;83953,0;83953,0;;;
NORALDINO JUNIOR;4291;FUNDO ESTADUAL DE SAÚDE;SES;119516;RESOLUÇÃO SES;APROVADO;427;6469;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119517;TRANSFERÊNCIA ESPECIAL;APROVADO;1831;16662;;Não;;;;;8000,0;8000,0;8000,0;8000,0;8000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119518;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2246;8067;;Não;;;;;19283,86;19283,86;19283,86;19283,86;19283,86;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119519;CELEBRAÇÃO DE CONVÊNIO;APROVADO;625;8152;;Não;;;;;30022,0;30022,0;30022,0;30022,0;30022,0;;;
ANTONIO CARLOS ARANTES;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119520;CELEBRAÇÃO DE CONVÊNIO;APROVADO;591;14599;;Não;;;;;56666,0;56666,0;56666,0;56666,0;56666,0;;;
ANTONIO CARLOS ARANTES;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119521;CELEBRAÇÃO DE CONVÊNIO;APROVADO;591;12877;;Não;;;;;56666,0;56664,1;56664,1;56664,1;56664,1;;;
ANTONIO CARLOS ARANTES;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119522;CELEBRAÇÃO DE CONVÊNIO;APROVADO;591;17027;;Não;;;;;66668,0;66668,0;66668,0;66668,0;66668,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119523;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2246;8153;;Não;;;;;59978,0;59978,0;59978,0;59978,0;59978,0;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119524;TRANSFERÊNCIA ESPECIAL;APROVADO;1398;16663;;Não;;;;;3453,0;3453,0;3453,0;3453,0;3453,0;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119525;TRANSFERÊNCIA ESPECIAL;APROVADO;1829;16664;;Não;;;;;2752,28;2752,28;2752,28;2752,28;2752,28;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119526;TRANSFERÊNCIA ESPECIAL;APROVADO;1831;16665;;Não;;;;;40000,0;40000,0;40000,0;40000,0;40000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119527;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2246;8881;;Não;;;;;30000,0;30000,0;30000,0;30000,0;30000,0;;;
ZÉ GUILHERME;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119528;TRANSFERÊNCIA ESPECIAL;APROVADO;1832;16666;;Não;;;;;44000,0;44000,0;44000,0;44000,0;44000,0;;;
GUSTAVO SANTANA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119529;RESOLUÇÃO SES;APROVADO;435;6201;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
ANA PAULA SIQUEIRA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119530;TRANSFERÊNCIA ESPECIAL;APROVADO;320;16667;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
ANA PAULA SIQUEIRA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119531;TRANSFERÊNCIA ESPECIAL;APROVADO;320;16668;;Não;;;;;218431,0;218431,0;218431,0;218431,0;218431,0;;;
GUSTAVO SANTANA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119532;RESOLUÇÃO SES;APROVADO;435;6239;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
GUSTAVO SANTANA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119533;RESOLUÇÃO SES;APROVADO;435;5931;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119534;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2247;8880;;Não;;;;;60000,0;60000,0;60000,0;60000,0;60000,0;;;
CARLOS HENRIQUE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119537;RESOLUÇÃO SES;APROVADO;1125;6487;;Não;;;;;403065,0;403065,0;403065,0;403065,0;403065,0;;;
GLAYCON FRANCO;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119538;CELEBRAÇÃO DE CONVÊNIO;APROVADO;206;12874;;Não;;;;;92530,0;92530,0;92530,0;92530,0;92530,0;;;
GLAYCON FRANCO;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119539;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2008;12875;;Não;;;;;57470,0;57470,0;57470,0;57470,0;57470,0;;;
GUSTAVO SANTANA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119540;RESOLUÇÃO SES;APROVADO;2178;5725;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
CARLOS HENRIQUE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119541;RESOLUÇÃO SES;APROVADO;1989;6489;;Não;;;;;5485,0;5485,0;5485,0;5485,0;5485,0;;;
NEILANDO PIMENTA;4291;FUNDO ESTADUAL DE SAÚDE;SES;119544;RESOLUÇÃO SES;APROVADO;1727;5768;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
